property_id,room_type,date,rooms_sold,adr,total_rooms_available,occupancy_rate,revpar
P01,Deluxe,2023-07-01,35,1605600.0,42,0.8333,1337946.0
P01,Deluxe,2023-07-02,34,1609824.0,42,0.8095,1303153.0
P01,Deluxe,2023-07-03,31,1617613.0,42,0.7381,1193960.0
P01,Deluxe,2023-07-04,31,1615645.0,42,0.7381,1192508.0
P01,Deluxe,2023-07-05,35,1617114.0,42,0.8333,1347541.0
P01,Deluxe,2023-07-06,35,1617143.0,42,0.8333,1347565.0
P01,Deluxe,2023-07-07,38,1600526.0,42,0.9048,1448156.0
P01,Deluxe,2023-07-08,38,1590053.0,42,0.9048,1438680.0
P01,Deluxe,2023-07-09,34,1600853.0,42,0.8095,1295891.0
P01,Deluxe,2023-07-10,35,1613171.0,42,0.8333,1344255.0
P01,Deluxe,2023-07-11,35,1612686.0,42,0.8333,1343851.0
P01,Deluxe,2023-07-12,33,1606727.0,42,0.7857,1262405.0
P01,Deluxe,2023-07-13,36,1606833.0,42,0.8571,1377217.0
P01,Deluxe,2023-07-14,36,1611333.0,42,0.8571,1381074.0
P01,Deluxe,2023-07-15,36,1612194.0,42,0.8571,1381811.0
P01,Deluxe,2023-07-16,31,1610871.0,42,0.7381,1188984.0
P01,Deluxe,2023-07-17,33,1613667.0,42,0.7857,1267858.0
P01,Deluxe,2023-07-18,36,1599694.0,42,0.8571,1371098.0
P01,Deluxe,2023-07-19,34,1609765.0,42,0.8095,1303105.0
P01,Deluxe,2023-07-20,33,1614545.0,42,0.7857,1268548.0
P01,Deluxe,2023-07-21,37,1614757.0,42,0.881,1422601.0
P01,Deluxe,2023-07-22,38,1619421.0,42,0.9048,1465252.0
P01,Deluxe,2023-07-23,36,1609556.0,42,0.8571,1379550.0
P01,Deluxe,2023-07-24,33,1606909.0,42,0.7857,1262548.0
P01,Deluxe,2023-07-25,36,1596361.0,42,0.8571,1368241.0
P01,Deluxe,2023-07-26,37,1605189.0,42,0.881,1414172.0
P01,Deluxe,2023-07-27,33,1608394.0,42,0.7857,1263715.0
P01,Deluxe,2023-07-28,40,1604775.0,42,0.9524,1528388.0
P01,Deluxe,2023-07-29,40,1612650.0,42,0.9524,1535888.0
P01,Deluxe,2023-07-30,34,1617441.0,42,0.8095,1309318.0
P01,Deluxe,2023-07-31,35,1608543.0,42,0.8333,1340399.0
P01,Deluxe,2023-08-01,32,1553250.0,42,0.7619,1183421.0
P01,Deluxe,2023-08-02,28,1516607.0,42,0.6667,1011122.0
P01,Deluxe,2023-08-03,27,1487704.0,42,0.6429,956445.0
P01,Deluxe,2023-08-04,37,1491486.0,42,0.881,1313999.0
P01,Deluxe,2023-08-05,32,1480656.0,42,0.7619,1128112.0
P01,Deluxe,2023-08-06,30,1477500.0,42,0.7143,1055378.0
P01,Deluxe,2023-08-07,30,1472267.0,42,0.7143,1051640.0
P01,Deluxe,2023-08-08,29,1472586.0,42,0.6905,1016821.0
P01,Deluxe,2023-08-09,28,1472929.0,42,0.6667,982002.0
P01,Deluxe,2023-08-10,31,1477839.0,42,0.7381,1090793.0
P01,Deluxe,2023-08-11,36,1480500.0,42,0.8571,1268937.0
P01,Deluxe,2023-08-12,37,1488270.0,42,0.881,1311166.0
P01,Deluxe,2023-08-13,30,1499833.0,42,0.7143,1071331.0
P01,Deluxe,2023-08-14,25,1496800.0,42,0.5952,890895.0
P01,Deluxe,2023-08-15,26,1496500.0,42,0.619,926334.0
P01,Deluxe,2023-08-16,29,1482759.0,42,0.6905,1023845.0
P01,Deluxe,2023-08-17,33,1484879.0,42,0.7857,1166669.0
P01,Deluxe,2023-08-18,36,1481861.0,42,0.8571,1270103.0
P01,Deluxe,2023-08-19,34,1493412.0,42,0.8095,1208917.0
P01,Deluxe,2023-08-20,31,1473323.0,42,0.7381,1087460.0
P01,Deluxe,2023-08-21,30,1478767.0,42,0.7143,1056283.0
P01,Deluxe,2023-08-22,30,1477800.0,42,0.7143,1055593.0
P01,Deluxe,2023-08-23,31,1472968.0,42,0.7381,1087198.0
P01,Deluxe,2023-08-24,34,1480206.0,42,0.8095,1198227.0
P01,Deluxe,2023-08-25,38,1488921.0,42,0.9048,1347176.0
P01,Deluxe,2023-08-26,34,1488676.0,42,0.8095,1205083.0
P01,Deluxe,2023-08-27,30,1478633.0,42,0.7143,1056188.0
P01,Deluxe,2023-08-28,32,1476156.0,42,0.7619,1124683.0
P01,Deluxe,2023-08-29,32,1473531.0,42,0.7619,1122683.0
P01,Deluxe,2023-08-30,27,1474074.0,42,0.6429,947682.0
P01,Deluxe,2023-08-31,28,1487964.0,42,0.6667,992026.0
P01,Deluxe,2023-09-01,27,1448667.0,42,0.6429,931348.0
P01,Deluxe,2023-09-02,23,1390565.0,42,0.5476,761473.0
P01,Deluxe,2023-09-03,25,1375280.0,42,0.5952,818567.0
P01,Deluxe,2023-09-04,27,1360259.0,42,0.6429,874511.0
