review_id,employee_id,review_period,score,notes
PR00001,E0001,2023-S2,4.43,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00002,E0001,2024-S1,4.02,Stabil dan dapat diandalkan
PR00003,E0001,2024-S2,4.17,Stabil dan dapat diandalkan
PR00004,E0001,2025-S1,4.1,Perlu sedikit peningkatan di komunikasi tim
PR00005,E0001,2025-S2,4.27,Perlu sedikit peningkatan di komunikasi tim
PR00006,E0001,2026-S1,4.3,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00007,E0002,2023-S2,2.99,Perlu peningkatan konsistensi
PR00008,E0002,2024-S1,2.56,"Kinerja cukup, ada ruang perbaikan"
PR00009,E0002,2024-S2,2.67,"Kinerja cukup, ada ruang perbaikan"
PR00010,E0002,2025-S1,2.75,"Kinerja cukup, ada ruang perbaikan"
PR00011,E0002,2025-S2,2.49,Beberapa keluhan terkait kedisiplinan
PR00012,E0002,2026-S1,2.49,Perlu evaluasi lebih lanjut
PR00013,E0003,2023-S2,3.66,Stabil dan dapat diandalkan
PR00014,E0003,2024-S1,3.32,"Kinerja cukup, ada ruang perbaikan"
PR00015,E0003,2024-S2,3.53,Stabil dan dapat diandalkan
PR00016,E0003,2025-S1,3.28,"Kinerja cukup, ada ruang perbaikan"
PR00017,E0003,2025-S2,3.25,Beberapa target belum tercapai
PR00018,E0003,2026-S1,3.7,Stabil dan dapat diandalkan
PR00019,E0004,2023-S2,2.92,"Kinerja cukup, ada ruang perbaikan"
PR00020,E0004,2024-S1,2.97,Beberapa target belum tercapai
PR00021,E0004,2024-S2,2.96,"Kinerja cukup, ada ruang perbaikan"
PR00022,E0004,2025-S1,3.24,Perlu peningkatan konsistensi
PR00023,E0004,2025-S2,2.91,Perlu peningkatan konsistensi
PR00024,E0004,2026-S1,3.12,Perlu peningkatan konsistensi
PR00025,E0005,2023-S2,4.76,"Sangat diandalkan tim, guest feedback positif"
PR00026,E0005,2024-S1,4.24,"Kinerja baik, memenuhi target"
PR00027,E0005,2024-S2,4.57,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00028,E0005,2025-S1,4.4,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00029,E0005,2025-S2,4.66,"Sangat diandalkan tim, guest feedback positif"
PR00030,E0005,2026-S1,4.69,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00031,E0006,2023-S2,3.26,"Kinerja cukup, ada ruang perbaikan"
PR00032,E0006,2024-S1,3.31,Beberapa target belum tercapai
PR00033,E0006,2024-S2,3.37,"Kinerja cukup, ada ruang perbaikan"
PR00034,E0006,2025-S1,3.4,Beberapa target belum tercapai
PR00035,E0006,2025-S2,3.5,Perlu sedikit peningkatan di komunikasi tim
PR00036,E0006,2026-S1,2.81,"Kinerja cukup, ada ruang perbaikan"
