property_id,period,department,departmental_revenue,departmental_expense,departmental_profit,undistributed_expense,gop
P01,2023-07,Room,7444217000,2084380760,5359836240,0,0
P01,2023-07,F&B,877843000,528056096,349786903,0,0
P01,2023-07,Spa&Event,1288372000,708604600,579767400,0,0
P01,2023-07,Overall,9610432000,3321041456,6289390543,2152736768,4136653775
P01,2023-08,Room,5934216000,1661580480,4272635520,0,0
P01,2023-08,F&B,725956000,484022061,241933938,0,0
P01,2023-08,Spa&Event,1661000000,913550000,747449999,0,0
P01,2023-08,Overall,8321172000,3059152541,5262019458,1863942528,3398076930
P01,2023-09,Room,4247234000,1189225520,3058008480,0,0
P01,2023-09,F&B,582895000,444648090,138246909,0,0
P01,2023-09,Spa&Event,1461320000,803726000,657593999,0,0
P01,2023-09,Overall,6291449000,2437599610,3853849389,1409284576,2444564813
P01,2023-10,Room,4369713000,1223519640,3146193360,0,0
P01,2023-10,F&B,588310000,449045278,139264721,0,0
P01,2023-10,Spa&Event,1605864000,883225200,722638799,0,0
P01,2023-10,Overall,6563887000,2555790118,4008096881,1470310688,2537786193
P01,2023-11,Room,4848014000,1357443920,3490570080,0,0
P01,2023-11,F&B,633283000,465093337,168189662,0,0
P01,2023-11,Spa&Event,1370146000,753580300,616565699,0,0
P01,2023-11,Overall,6851443000,2576117557,4275325442,1534723232,2740602210
P01,2023-12,Room,7698820000,2155669600,5543150400,0,0
P01,2023-12,F&B,900672000,568835443,331836556,0,0
P01,2023-12,Spa&Event,1475051000,811278050,663772949,0,0
P01,2023-12,Overall,10074543000,3535783093,6538759906,2256697632,4282062274
P01,2024-01,Room,6998702000,1959636560,5039065440,0,0
P01,2024-01,F&B,864033000,549192445,314840554,0,0
P01,2024-01,Spa&Event,1725619000,949090450,776528549,0,0
P01,2024-01,Overall,9588354000,3457919455,6130434544,2147791296,3982643248
P01,2024-02,Room,4162879000,1165606120,2997272880,0,0
P01,2024-02,F&B,545199000,446809133,98389866,0,0
P01,2024-02,Spa&Event,2007539000,1104146450,903392550,0,0
P01,2024-02,Overall,6715617000,2716561703,3999055296,1504298208,2494757088
P01,2024-03,Room,4171016000,1508798993,2662217006,0,0
P01,2024-03,F&B,560551000,643827551,-83276551,0,0
P01,2024-03,Spa&Event,2024549000,1113501950,911047050,0,0
P01,2024-03,Overall,6756116000,3266128494,3489987505,1513369984,1976617521
P01,2024-04,Room,5292175000,1481809000,3810366000,0,0
P01,2024-04,F&B,671231000,484875704,186355295,0,0
P01,2024-04,Spa&Event,1777219000,977470450,799748549,0,0
P01,2024-04,Overall,7740625000,2944155154,4796469845,1733900000,3062569845
P01,2024-05,Room,6045346000,1692696880,4352649120,0,0
P01,2024-05,F&B,746362000,515702760,230659239,0,0
P01,2024-05,Spa&Event,1163524000,639938200,523585800,0,0
P01,2024-05,Overall,7955232000,2848337840,5106894159,1781971968,3324922191
P01,2024-06,Room,6394235000,1790385800,4603849200,0,0
P01,2024-06,F&B,776576000,518426190,258149809,0,0
P01,2024-06,Spa&Event,1484666000,816566300,668099699,0,0
P01,2024-06,Overall,8655477000,3125378290,5530098709,1938826848,3591271861
P01,2024-07,Room,7490032000,2097208960,5392823040,0,0
P01,2024-07,F&B,876241000,566896984,309344015,0,0
P01,2024-07,Spa&Event,1675286000,921407300,753878699,0,0
P01,2024-07,Overall,10041559000,3585513244,6456045755,2249309216,4206736539
P01,2024-08,Room,6158911000,1724495080,4434415920,0,0
P01,2024-08,F&B,795771000,534844607,260926392,0,0
P01,2024-08,Spa&Event,1583599000,870979450,712619549,0,0
P01,2024-08,Overall,8538281000,3130319137,5407961862,1912574944,3495386918
P01,2024-09,Room,4227810000,1183786800,3044023200,0,0
P01,2024-09,F&B,555127000,452001589,103125410,0,0
P01,2024-09,Spa&Event,1007772000,554274600,453497400,0,0
P01,2024-09,Overall,5790709000,2190062989,3600646010,1297118816,2303527194
P01,2024-10,Room,4726073000,1323300440,3402772560,0,0
P01,2024-10,F&B,634230000,485514675,148715324,0,0
P01,2024-10,Spa&Event,1951888000,1073538400,878349599,0,0
P01,2024-10,Overall,7312191000,2882353515,4429837484,1637930784,2791906700
P01,2024-11,Room,5240939000,1467462920,3773476080,0,0
P01,2024-11,F&B,685705000,526508639,159196360,0,0
P01,2024-11,Spa&Event,1426637000,784650350,641986649,0,0
P01,2024-11,Overall,7353281000,2778621909,4574659090,1647134944,2927524146
P01,2024-12,Room,8288605000,2320809400,5967795600,0,0
P01,2024-12,F&B,858525000,595271310,263253689,0,0
P01,2024-12,Spa&Event,1651592000,908375600,743216399,0,0
P01,2024-12,Overall,10798722000,3824456310,6974265689,2418913728,4555351961
P01,2025-01,Room,7353020000,2058845600,5294174400,0,0
P01,2025-01,F&B,875268000,592399573,282868426,0,0
P01,2025-01,Spa&Event,2642175000,1453196250,1188978750,0,0
P01,2025-01,Overall,10870463000,4104441423,6766021576,2434983712,4331037864
P01,2025-02,Room,4190349000,1173297720,3017051280,0,0
P01,2025-02,F&B,578035000,496566410,81468589,0,0
P01,2025-02,Spa&Event,1481900000,815045000,666854999,0,0
P01,2025-02,Overall,6250284000,2484909130,3765374869,1400063616,2365311253
P01,2025-03,Room,4931784000,1676678119,3255105880,0,0
P01,2025-03,F&B,632935000,750699243,-117764243,0,0
P01,2025-03,Spa&Event,1652828000,909055400,743772599,0,0
P01,2025-03,Overall,7217547000,3336432762,3881114237,1616730528,2264383709
P01,2025-04,Room,5480505000,1534541400,3945963600,0,0
P01,2025-04,F&B,685798000,548686143,137111856,0,0
P01,2025-04,Spa&Event,1853210000,1019265500,833944499,0,0
P01,2025-04,Overall,8019513000,3102493043,4917019956,1796370912,3120649044
P01,2025-05,Room,5771222000,1615942160,4155279840,0,0
P01,2025-05,F&B,718080000,553321146,164758853,0,0
P01,2025-05,Spa&Event,1612758000,887016900,725741099,0,0
P01,2025-05,Overall,8102060000,3056280206,5045779793,1814861440,3230918353
P01,2025-06,Room,6397733000,1791365240,4606367760,0,0
P01,2025-06,F&B,854182000,597470149,256711850,0,0
P01,2025-06,Spa&Event,1217923000,669857650,548065350,0,0
P01,2025-06,Overall,8469838000,3058693039,5411144960,1897243712,3513901248
P01,2025-07,Room,7327546000,2051712880,5275833120,0,0
P01,2025-07,F&B,874503000,624414067,250088932,0,0
P01,2025-07,Spa&Event,2388115000,1313463250,1074651750,0,0
P01,2025-07,Overall,10590164000,3989590197,6600573802,2372196736,4228377066
P01,2025-08,Room,6166358000,1726580240,4439777760,0,0
P01,2025-08,F&B,778168000,580262529,197905470,0,0
P01,2025-08,Spa&Event,2369909000,1303449950,1066459050,0,0
P01,2025-08,Overall,9314435000,3610292719,5704142280,2086433440,3617708840
P01,2025-09,Room,4662191000,1305413480,3356777520,0,0
P01,2025-09,F&B,615517000,528184113,87332886,0,0
P01,2025-09,Spa&Event,1806436000,993539800,812896199,0,0
P01,2025-09,Overall,7084144000,2827137393,4257006606,1586848256,2670158350
P01,2025-10,Room,4785311000,1339887080,3445423920,0,0
P01,2025-10,F&B,658933000,548124619,110808380,0,0
P01,2025-10,Spa&Event,2160167000,1188091850,972075150,0,0
P01,2025-10,Overall,7604411000,3076103549,4528307450,1703388064,2824919386
P01,2025-11,Room,5423625000,1518615000,3905010000,0,0
P01,2025-11,F&B,728874000,583260871,145613128,0,0
P01,2025-11,Spa&Event,2098600000,1154230000,944370000,0,0
P01,2025-11,Overall,8251099000,3256105871,4994993128,1848246176,3146746952
P01,2025-12,Room,7740718000,2167401040,5573316960,0,0
P01,2025-12,F&B,930534000,655208606,275325393,0,0
P01,2025-12,Spa&Event,1298033000,713918150,584114850,0,0
P01,2025-12,Overall,9969285000,3536527796,6432757203,2233119840,4199637363
P01,2026-01,Room,7249118000,2029753040,5219364960,0,0
P01,2026-01,F&B,899034000,645545452,253488547,0,0
P01,2026-01,Spa&Event,1661475000,913811250,747663749,0,0
P01,2026-01,Overall,9809627000,3589109742,6220517257,2197356448,4023160809
P01,2026-02,Room,4421783000,1238099240,3183683760,0,0
P01,2026-02,F&B,596008000,532766000,63241999,0,0
P01,2026-02,Spa&Event,1375670000,756618500,619051499,0,0
P01,2026-02,Overall,6393461000,2527483740,3865977259,1432135264,2433841995
P01,2026-03,Room,5123748000,1793957061,3329790938,0,0
P01,2026-03,F&B,656407000,778583609,-122176609,0,0
P01,2026-03,Spa&Event,1259330000,692631500,566698500,0,0
P01,2026-03,Overall,7039485000,3265172171,3774312828,1576844640,2197468188
P01,2026-04,Room,5520611000,1545771080,3974839920,0,0
P01,2026-04,F&B,725230000,558646538,166583461,0,0
P01,2026-04,Spa&Event,1688435000,928639250,759795749,0,0
P01,2026-04,Overall,7934276000,3033056868,4901219131,1777277824,3123941307
P01,2026-05,Room,5883869000,1647483320,4236385680,0,0
P01,2026-05,F&B,759424000,577233155,182190844,0,0
P01,2026-05,Spa&Event,2510112000,1380561600,1129550400,0,0
P01,2026-05,Overall,9153405000,3605278075,5548126924,2050362720,3497764204
P01,2026-06,Room,6465631000,1810376680,4655254320,0,0
P01,2026-06,F&B,808347000,585443988,222903011,0,0
P01,2026-06,Spa&Event,2135478000,1174512900,960965100,0,0
P01,2026-06,Overall,9409456000,3570333568,5839122431,2107718144,3731404287
P02,2023-07,Room,7417226000,2076823280,5340402720,0,0
P02,2023-07,F&B,1318326000,1032762876,285563123,0,0
P02,2023-07,Spa&Event,3347329000,1841030950,1506298049,0,0
P02,2023-07,Overall,12082881000,4950617106,7132263893,2706565344,4425698549
P02,2023-08,Room,5453619000,1527013320,3926605680,0,0
P02,2023-08,F&B,1026782000,944462429,82319570,0,0
P02,2023-08,Spa&Event,2466430000,1356536500,1109893500,0,0
P02,2023-08,Overall,8946831000,3828012249,5118818750,2004090144,3114728606
P02,2023-09,Room,3914099000,1190472931,2723626068,0,0
P02,2023-09,F&B,818991000,884418934,-65427934,0,0
P02,2023-09,Spa&Event,3332603000,1832931650,1499671349,0,0
P02,2023-09,Overall,8065693000,3907823515,4157869484,1806715232,2351154252
P02,2023-10,Room,4326401000,1251281349,3075119650,0,0
P02,2023-10,F&B,821313000,890681807,-69368807,0,0
P02,2023-10,Spa&Event,1554418000,854929900,699488099,0,0
P02,2023-10,Overall,6702132000,2996893056,3705238943,1501277568,2203961375
P02,2023-11,Room,4790831000,1341432680,3449398320,0,0
P02,2023-11,F&B,909026000,918553491,-9527491,0,0
P02,2023-11,Spa&Event,3729889000,2051438950,1678450049,0,0
P02,2023-11,Overall,9429746000,4311425121,5118320878,2112263104,3006057774
P02,2023-12,Room,7206733000,2017885240,5188847760,0,0
P02,2023-12,F&B,1352702000,1055089611,297612388,0,0
P02,2023-12,Spa&Event,2673510000,1470430500,1203079500,0,0
P02,2023-12,Overall,11232945000,4543405351,6689539648,2516179680,4173359968
P02,2024-01,Room,6750882000,1890246960,4860635040,0,0
P02,2024-01,F&B,1211357000,1028060535,183296464,0,0
P02,2024-01,Spa&Event,2683978000,1476187900,1207790100,0,0
P02,2024-01,Overall,10646217000,4394495395,6251721604,2384752608,3866968996
P02,2024-02,Room,3891917000,1245607790,2646309209,0,0
P02,2024-02,F&B,781369000,888095142,-106726142,0,0
P02,2024-02,Spa&Event,2596572000,1428114600,1168457400,0,0
P02,2024-02,Overall,7269858000,3561817533,3708040466,1628448192,2079592274
P02,2024-03,Room,4272096000,2075271505,2196824494,0,0
P02,2024-03,F&B,864058000,1447127733,-583069733,0,0
P02,2024-03,Spa&Event,1582422000,870332100,712089899,0,0
P02,2024-03,Overall,6718576000,4392731339,2325844660,1504961024,820883636
P02,2024-04,Room,4832618000,1353133040,3479484960,0,0
P02,2024-04,F&B,948149000,952710240,-4561240,0,0
P02,2024-04,Spa&Event,1982670000,1090468500,892201500,0,0
P02,2024-04,Overall,7763437000,3396311780,4367125219,1739009888,2628115331
P02,2024-05,Room,5482065000,1534978200,3947086800,0,0
P02,2024-05,F&B,1049426000,996900988,52525011,0,0
P02,2024-05,Spa&Event,2231976000,1227586800,1004389200,0,0
P02,2024-05,Overall,8763467000,3759465988,5004001011,1963016608,3040984403
P02,2024-06,Room,6254783000,1751339240,4503443760,0,0
P02,2024-06,F&B,1181192000,1040930741,140261258,0,0
P02,2024-06,Spa&Event,1856564000,1021110200,835453799,0,0
P02,2024-06,Overall,9292539000,3813380181,5479158818,2081528736,3397630082
P02,2024-07,Room,7138280000,1998718400,5139561600,0,0
P02,2024-07,F&B,1283281000,1076135492,207145507,0,0
P02,2024-07,Spa&Event,3223028000,1772665400,1450362599,0,0
P02,2024-07,Overall,11644589000,4847519292,6797069707,2608387936,4188681771
P02,2024-08,Room,5777238000,1617626640,4159611360,0,0
P02,2024-08,F&B,1127085000,1024576618,102508381,0,0
P02,2024-08,Spa&Event,2956354000,1625994700,1330359299,0,0
P02,2024-08,Overall,9860677000,4268197958,5592479041,2208791648,3383687393
P02,2024-09,Room,4054601000,1318919128,2735681871,0,0
P02,2024-09,F&B,809283000,918884098,-109601098,0,0
P02,2024-09,Spa&Event,3041431000,1672787050,1368643949,0,0
P02,2024-09,Overall,7905315000,3910590277,3994724722,1770790560,2223934162
P02,2024-10,Room,4499458000,1356194930,3143263069,0,0
P02,2024-10,F&B,863030000,938910399,-75880399,0,0
P02,2024-10,Spa&Event,2258160000,1241988000,1016172000,0,0
P02,2024-10,Overall,7620648000,3537093330,4083554669,1707025152,2376529517
P02,2024-11,Room,5049398000,1422443977,3626954022,0,0
P02,2024-11,F&B,1002453000,986042593,16410406,0,0
P02,2024-11,Spa&Event,3123789000,1718083950,1405705049,0,0
P02,2024-11,Overall,9175640000,4126570520,5049069479,2055343360,2993726119
P02,2024-12,Room,7646490000,2141017200,5505472800,0,0
P02,2024-12,F&B,1375472000,1111135720,264336279,0,0
P02,2024-12,Spa&Event,2080894000,1144491700,936402300,0,0
P02,2024-12,Overall,11102856000,4396644620,6706211379,2487039744,4219171635
P02,2025-01,Room,7247358000,2029260240,5218097760,0,0
P02,2025-01,F&B,1325990000,1104223722,221766277,0,0
P02,2025-01,Spa&Event,3432343000,1887788650,1544554349,0,0
P02,2025-01,Overall,12005691000,5021272612,6984418387,2689274784,4295143603
P02,2025-02,Room,3424236000,1253716874,2170519125,0,0
P02,2025-02,F&B,812025000,964897694,-152872694,0,0
P02,2025-02,Spa&Event,3175600000,1746580000,1429019999,0,0
P02,2025-02,Overall,7411861000,3965194568,3446666431,1660256864,1786409567
P02,2025-03,Room,4523208000,2288863487,2234344512,0,0
P02,2025-03,F&B,870642000,1581281948,-710639948,0,0
P02,2025-03,Spa&Event,2729550000,1501252500,1228297499,0,0
P02,2025-03,Overall,8123400000,5371397935,2752002064,1819641600,932360464
P02,2025-04,Room,5325758000,1491212240,3834545760,0,0
P02,2025-04,F&B,989624000,1052793966,-63169966,0,0
P02,2025-04,Spa&Event,2149358000,1182146900,967211100,0,0
P02,2025-04,Overall,8464740000,3726153106,4738586893,1896101760,2842485133
P02,2025-05,Room,5398720000,1511641600,3887078400,0,0
P02,2025-05,F&B,1019111000,1054228071,-35117071,0,0
P02,2025-05,Spa&Event,5287967000,2908381850,2379585150,0,0
P02,2025-05,Overall,11705798000,5474251521,6231546478,2622098752,3609447726
P02,2025-06,Room,6337171000,1774407880,4562763120,0,0
P02,2025-06,F&B,1167200000,1094223917,72976082,0,0
P02,2025-06,Spa&Event,5615968000,3088782400,2527185599,0,0
P02,2025-06,Overall,13120339000,5957414197,7162924802,2938955936,4223968866
P02,2025-07,Room,6930275000,1940477000,4989798000,0,0
P02,2025-07,F&B,1258202000,1119446916,138755083,0,0
P02,2025-07,Spa&Event,3241171000,1782644050,1458526949,0,0
P02,2025-07,Overall,11429648000,4842567966,6587080033,2560241152,4026838881
P02,2025-08,Room,5974520000,1672865600,4301654400,0,0
P02,2025-08,F&B,1135696000,1095624841,40071158,0,0
P02,2025-08,Spa&Event,1018383000,560110650,458272350,0,0
P02,2025-08,Overall,8128599000,3328601091,4799997908,1820806176,2979191732
P02,2025-09,Room,4290162000,1431984717,2858177282,0,0
P02,2025-09,F&B,861776000,977752891,-115976891,0,0
P02,2025-09,Spa&Event,1894389000,1041913950,852475049,0,0
P02,2025-09,Overall,7046327000,3451651559,3594675440,1578377248,2016298192
P02,2025-10,Room,4695457000,1481666301,3213790698,0,0
P02,2025-10,F&B,937814000,1011601024,-73787024,0,0
P02,2025-10,Spa&Event,3605340000,1982937000,1622402999,0,0
P02,2025-10,Overall,9238611000,4476204325,4762406674,2069448864,2692957810
P02,2025-11,Room,5290761000,1562167138,3728593861,0,0
P02,2025-11,F&B,1049805000,1033527802,16277197,0,0
P02,2025-11,Spa&Event,3174913000,1746202150,1428710849,0,0
P02,2025-11,Overall,9515479000,4341897090,5173581909,2131467296,3042114613
P02,2025-12,Room,7741830000,2167712400,5574117600,0,0
P02,2025-12,F&B,1379628000,1132118185,247509814,0,0
P02,2025-12,Spa&Event,4899200000,2694560000,2204640000,0,0
P02,2025-12,Overall,14020658000,5994390585,8026267414,3140627392,4885640022
P02,2026-01,Room,7369747000,2063529160,5306217840,0,0
P02,2026-01,F&B,1339874000,1114671477,225202522,0,0
P02,2026-01,Spa&Event,3159815000,1737898250,1421916749,0,0
P02,2026-01,Overall,11869436000,4916098887,6953337112,2658753664,4294583448
P02,2026-02,Room,4074170000,1463134547,2611035452,0,0
P02,2026-02,F&B,826494000,946724558,-120230558,0,0
P02,2026-02,Spa&Event,3910363000,2150699650,1759663350,0,0
P02,2026-02,Overall,8811027000,4560558756,4250468243,1973670048,2276798195
P02,2026-03,Room,4691882000,2473044748,2218837251,0,0
P02,2026-03,F&B,922559000,1556161831,-633602831,0,0
P02,2026-03,Spa&Event,4944765000,2719620750,2225144250,0,0
P02,2026-03,Overall,10559206000,6748827329,3810378670,2365262144,1445116526
P02,2026-04,Room,5291540000,1560936451,3730603548,0,0
P02,2026-04,F&B,993604000,1006690293,-13086293,0,0
P02,2026-04,Spa&Event,2909886000,1600437300,1309448699,0,0
P02,2026-04,Overall,9195030000,4168064045,5026965954,2059686720,2967279234
P02,2026-05,Room,5754687000,1611312360,4143374640,0,0
P02,2026-05,F&B,1116037000,1057342208,58694791,0,0
P02,2026-05,Spa&Event,2647455000,1456100250,1191354750,0,0
P02,2026-05,Overall,9518179000,4124754818,5393424181,2132072096,3261352085
P02,2026-06,Room,6467273000,1810836440,4656436560,0,0
P02,2026-06,F&B,1210854000,1086732918,124121081,0,0
P02,2026-06,Spa&Event,2119346000,1165640300,953705700,0,0
P02,2026-06,Overall,9797473000,4063209658,5734263341,2194633952,3539629389
P03,2023-07,Room,2000567000,560158760,1440408240,0,0
P03,2023-07,F&B,347428000,273222806,74205193,0,0
P03,2023-07,Spa&Event,556428000,306035400,250392600,0,0
P03,2023-07,Overall,2904423000,1139416966,1765006033,650590752,1114415281
P03,2023-08,Room,1525923000,427258440,1098664560,0,0
P03,2023-08,F&B,262625000,243015994,19609005,0,0
P03,2023-08,Spa&Event,441344000,242739200,198604799,0,0
P03,2023-08,Overall,2229892000,913013634,1316878365,499495808,817382557
P03,2023-09,Room,1085006000,368798719,716207280,0,0
P03,2023-09,F&B,201600000,226188870,-24588870,0,0
P03,2023-09,Spa&Event,439365000,241650750,197714249,0,0
P03,2023-09,Overall,1725971000,836638339,889332660,388381200,500951460
P03,2023-10,Room,1220163000,384295428,835867571,0,0
P03,2023-10,F&B,222970000,234080122,-11110122,0,0
P03,2023-10,Spa&Event,412147000,226680850,185466149,0,0
P03,2023-10,Overall,1855280000,845056400,1010223599,415582720,594640879
P03,2023-11,Room,1324407000,386722481,937684518,0,0
P03,2023-11,F&B,251598000,243466291,8131708,0,0
P03,2023-11,Spa&Event,638436000,351139800,287296200,0,0
P03,2023-11,Overall,2214441000,981328573,1233112426,496034784,737077642
P03,2023-12,Room,2061279000,577158120,1484120880,0,0
P03,2023-12,F&B,355104000,282168804,72935195,0,0
P03,2023-12,Spa&Event,382901000,210595550,172305449,0,0
P03,2023-12,Overall,2799284000,1069922474,1729361525,627039616,1102321909
P03,2024-01,Room,1772145000,496200600,1275944400,0,0
P03,2024-01,F&B,317310000,273425081,43884918,0,0
P03,2024-01,Spa&Event,626025000,344313750,281711250,0,0
