ingredient_id,outlet_id,ingredient_name,unit,stock_current,stock_min_threshold,unit_cost
ING001,OUT001,Beras Premium,kg,77.31,23.96,16870.0
ING002,OUT001,Daging Sapi,kg,12.83,5.43,161010.0
ING003,OUT001,Daging Ayam,kg,50.82,42.15,42740.0
ING004,OUT001,Ikan Kakap,kg,25.08,9.61,94090.0
ING005,OUT001,Udang,kg,24.99,9.88,123940.0
ING006,OUT001,Cabai Merah,kg,13.92,10.18,54290.0
ING007,OUT001,Bawang Merah,kg,18.72,5.76,35190.0
ING008,OUT001,Bawang Putih,kg,4.62,2.12,39860.0
ING009,OUT001,Telur,kg,23.52,12.54,31310.0
ING010,OUT001,Minyak Goreng,liter,18.93,6.11,19950.0
ING011,OUT001,Tepung Terigu,kg,29.1,9.92,13580.0
ING012,OUT001,Gula Pasir,kg,10.92,5.44,17980.0
ING013,OUT001,Susu UHT,liter,6.6,8.93,24860.0
ING014,OUT001,Keju Mozzarella,kg,7.67,5.13,138420.0
ING015,OUT001,Mentega,kg,4.6,2.23,75480.0
ING016,OUT001,Kopi Arabika,kg,4.05,2.72,205740.0
ING017,OUT001,Teh Premium,kg,1.01,0.38,104960.0
ING018,OUT001,Sayuran Segar Mix,kg,101.05,34.97,20740.0
ING019,OUT001,Kentang,kg,24.85,8.97,15440.0
ING020,OUT001,Tomat,kg,3.52,4.0,14350.0
ING021,OUT001,Coklat Couverture,kg,2.74,0.97,162510.0
ING022,OUT001,Buah Segar Mix,kg,35.3,16.52,38490.0
ING024,OUT001,Soda Water,liter,30.49,19.03,9020.0
ING026,OUT001,Wine House,pcs,7.29,4.74,205630.0
ING027,OUT001,Es Batu Kristal,kg,48.28,17.27,4500.0
ING028,OUT001,Santan Kelapa,liter,18.21,7.2,22380.0
ING029,OUT001,Kecap Manis,liter,4.94,2.92,26980.0
ING030,OUT001,Rempah Mix,kg,8.6,3.96,80130.0
ING002,OUT002,Daging Sapi,kg,3.57,2.19,161010.0
ING003,OUT002,Daging Ayam,kg,2.43,5.89,42740.0
ING006,OUT002,Cabai Merah,kg,0.97,0.34,54290.0
ING007,OUT002,Bawang Merah,kg,2.2,0.69,35190.0
ING009,OUT002,Telur,kg,3.44,1.97,31310.0
ING010,OUT002,Minyak Goreng,liter,2.32,1.93,19950.0
ING011,OUT002,Tepung Terigu,kg,8.15,4.82,13580.0
ING012,OUT002,Gula Pasir,kg,2.8,2.25,17980.0
ING013,OUT002,Susu UHT,liter,3.35,1.92,24860.0
ING014,OUT002,Keju Mozzarella,kg,4.34,2.73,138420.0
ING015,OUT002,Mentega,kg,2.74,1.23,75480.0
ING016,OUT002,Kopi Arabika,kg,2.41,0.93,205740.0
ING017,OUT002,Teh Premium,kg,1.08,0.38,104960.0
ING018,OUT002,Sayuran Segar Mix,kg,14.44,5.8,20740.0
ING019,OUT002,Kentang,kg,24.09,7.73,15440.0
ING020,OUT002,Tomat,kg,1.86,1.08,14350.0
ING021,OUT002,Coklat Couverture,kg,0.38,0.47,162510.0
ING022,OUT002,Buah Segar Mix,kg,28.15,12.77,38490.0
ING023,OUT002,Sirup Cocktail,liter,18.48,8.04,60470.0
ING024,OUT002,Soda Water,liter,20.03,11.94,9020.0
ING025,OUT002,Bir Kaleng,pcs,17.43,8.5,30960.0
ING026,OUT002,Wine House,pcs,9.44,5.1,205630.0
ING027,OUT002,Es Batu Kristal,kg,58.54,38.9,4500.0
ING028,OUT002,Santan Kelapa,liter,11.19,5.66,22380.0
ING029,OUT002,Kecap Manis,liter,3.3,1.03,26980.0
ING030,OUT002,Rempah Mix,kg,0.85,0.34,80130.0
ING002,OUT003,Daging Sapi,kg,6.8,2.22,161010.0
ING003,OUT003,Daging Ayam,kg,16.26,6.03,42740.0
ING006,OUT003,Cabai Merah,kg,0.21,0.34,54290.0
ING007,OUT003,Bawang Merah,kg,0.55,0.68,35190.0
ING009,OUT003,Telur,kg,2.98,1.99,31310.0
ING010,OUT003,Minyak Goreng,liter,5.55,1.94,19950.0
ING011,OUT003,Tepung Terigu,kg,4.16,4.89,13580.0
ING012,OUT003,Gula Pasir,kg,1.15,2.25,17980.0
ING013,OUT003,Susu UHT,liter,5.6,2.14,24860.0
ING014,OUT003,Keju Mozzarella,kg,3.64,2.75,138420.0
ING015,OUT003,Mentega,kg,0.6,1.24,75480.0
ING016,OUT003,Kopi Arabika,kg,2.38,0.93,205740.0
ING017,OUT003,Teh Premium,kg,1.13,0.38,104960.0
ING018,OUT003,Sayuran Segar Mix,kg,12.84,5.87,20740.0
ING019,OUT003,Kentang,kg,14.45,7.76,15440.0
ING020,OUT003,Tomat,kg,1.29,1.09,14350.0
ING021,OUT003,Coklat Couverture,kg,0.95,0.46,162510.0
ING022,OUT003,Buah Segar Mix,kg,25.51,13.07,38490.0
ING023,OUT003,Sirup Cocktail,liter,21.48,8.11,60470.0
ING024,OUT003,Soda Water,liter,9.82,12.07,9020.0
ING025,OUT003,Bir Kaleng,pcs,15.01,8.46,30960.0
ING026,OUT003,Wine House,pcs,16.31,5.2,205630.0
ING027,OUT003,Es Batu Kristal,kg,58.43,39.2,4500.0
ING028,OUT003,Santan Kelapa,liter,14.34,5.63,22380.0
ING029,OUT003,Kecap Manis,liter,1.21,1.02,26980.0
ING030,OUT003,Rempah Mix,kg,0.73,0.34,80130.0
ING001,OUT004,Beras Premium,kg,4.28,3.26,16870.0
ING002,OUT004,Daging Sapi,kg,5.55,1.78,161010.0
ING003,OUT004,Daging Ayam,kg,19.09,6.75,42740.0
ING005,OUT004,Udang,kg,1.78,1.04,123940.0
ING006,OUT004,Cabai Merah,kg,1.2,0.83,54290.0
ING007,OUT004,Bawang Merah,kg,2.89,0.97,35190.0
ING008,OUT004,Bawang Putih,kg,0.57,0.18,39860.0
ING009,OUT004,Telur,kg,3.86,1.51,31310.0
ING010,OUT004,Minyak Goreng,liter,2.89,1.48,19950.0
ING011,OUT004,Tepung Terigu,kg,5.12,2.94,13580.0
ING012,OUT004,Gula Pasir,kg,2.8,0.87,17980.0
ING013,OUT004,Susu UHT,liter,1.37,1.57,24860.0
ING014,OUT004,Keju Mozzarella,kg,1.18,0.53,138420.0
ING015,OUT004,Mentega,kg,0.85,0.36,75480.0
ING016,OUT004,Kopi Arabika,kg,0.43,0.5,205740.0
ING017,OUT004,Teh Premium,kg,0.07,0.12,104960.0
ING018,OUT004,Sayuran Segar Mix,kg,2.16,1.8,20740.0
ING019,OUT004,Kentang,kg,12.09,4.35,15440.0
ING020,OUT004,Tomat,kg,0.08,0.23,14350.0
ING021,OUT004,Coklat Couverture,kg,1.13,0.38,162510.0
ING022,OUT004,Buah Segar Mix,kg,16.11,5.41,38490.0
ING024,OUT004,Soda Water,liter,5.26,3.77,9020.0
ING025,OUT004,Bir Kaleng,pcs,5.43,4.13,30960.0
ING027,OUT004,Es Batu Kristal,kg,13.88,4.91,4500.0
ING028,OUT004,Santan Kelapa,liter,3.07,1.07,22380.0
ING029,OUT004,Kecap Manis,liter,2.74,1.06,26980.0
ING030,OUT004,Rempah Mix,kg,1.0,0.47,80130.0
ING001,OUT005,Beras Premium,kg,57.6,25.78,16870.0
ING002,OUT005,Daging Sapi,kg,8.26,6.07,161010.0
ING003,OUT005,Daging Ayam,kg,26.08,45.59,42740.0
ING004,OUT005,Ikan Kakap,kg,30.26,10.36,94090.0
ING005,OUT005,Udang,kg,25.06,11.07,123940.0
ING006,OUT005,Cabai Merah,kg,5.24,11.1,54290.0
ING007,OUT005,Bawang Merah,kg,3.87,6.23,35190.0
ING008,OUT005,Bawang Putih,kg,4.63,2.34,39860.0
ING009,OUT005,Telur,kg,32.06,13.57,31310.0
ING010,OUT005,Minyak Goreng,liter,17.97,6.72,19950.0
ING011,OUT005,Tepung Terigu,kg,20.67,10.95,13580.0
ING012,OUT005,Gula Pasir,kg,9.63,5.79,17980.0
ING013,OUT005,Susu UHT,liter,15.85,9.18,24860.0
ING014,OUT005,Keju Mozzarella,kg,2.73,5.71,138420.0
ING015,OUT005,Mentega,kg,3.61,2.43,75480.0
ING016,OUT005,Kopi Arabika,kg,6.93,2.92,205740.0
ING017,OUT005,Teh Premium,kg,1.18,0.4,104960.0
ING018,OUT005,Sayuran Segar Mix,kg,77.0,37.91,20740.0
ING019,OUT005,Kentang,kg,27.07,9.97,15440.0
ING020,OUT005,Tomat,kg,9.41,4.56,14350.0
ING021,OUT005,Coklat Couverture,kg,1.29,1.01,162510.0
ING022,OUT005,Buah Segar Mix,kg,28.97,17.49,38490.0
ING024,OUT005,Soda Water,liter,38.09,20.84,9020.0
ING026,OUT005,Wine House,pcs,6.26,5.15,205630.0
ING027,OUT005,Es Batu Kristal,kg,22.92,18.35,4500.0
ING028,OUT005,Santan Kelapa,liter,9.29,7.83,22380.0
ING029,OUT005,Kecap Manis,liter,1.34,3.12,26980.0
ING030,OUT005,Rempah Mix,kg,7.13,4.29,80130.0
ING002,OUT006,Daging Sapi,kg,11.49,3.82,161010.0
ING003,OUT006,Daging Ayam,kg,25.52,11.04,42740.0
ING006,OUT006,Cabai Merah,kg,1.23,0.55,54290.0
ING007,OUT006,Bawang Merah,kg,2.82,1.09,35190.0
ING009,OUT006,Telur,kg,6.13,3.78,31310.0
ING010,OUT006,Minyak Goreng,liter,10.7,3.62,19950.0
ING011,OUT006,Tepung Terigu,kg,19.45,9.04,13580.0
ING012,OUT006,Gula Pasir,kg,12.76,4.3,17980.0
ING013,OUT006,Susu UHT,liter,9.04,3.64,24860.0
ING014,OUT006,Keju Mozzarella,kg,7.21,5.18,138420.0
ING015,OUT006,Mentega,kg,4.8,2.34,75480.0
ING016,OUT006,Kopi Arabika,kg,5.6,1.79,205740.0
ING017,OUT006,Teh Premium,kg,2.22,0.72,104960.0
ING018,OUT006,Sayuran Segar Mix,kg,33.09,11.31,20740.0
ING019,OUT006,Kentang,kg,21.54,14.5,15440.0
ING020,OUT006,Tomat,kg,3.6,1.94,14350.0
ING021,OUT006,Coklat Couverture,kg,1.85,0.66,162510.0
ING022,OUT006,Buah Segar Mix,kg,67.13,24.57,38490.0
ING023,OUT006,Sirup Cocktail,liter,30.65,15.1,60470.0
ING024,OUT006,Soda Water,liter,71.18,22.45,9020.0
ING025,OUT006,Bir Kaleng,pcs,38.04,16.16,30960.0
ING026,OUT006,Wine House,pcs,5.52,9.68,205630.0
ING027,OUT006,Es Batu Kristal,kg,166.7,73.41,4500.0
ING028,OUT006,Santan Kelapa,liter,27.29,10.33,22380.0
ING029,OUT006,Kecap Manis,liter,3.08,1.64,26980.0
ING030,OUT006,Rempah Mix,kg,1.67,0.55,80130.0
ING002,OUT007,Daging Sapi,kg,11.15,3.88,161010.0
ING003,OUT007,Daging Ayam,kg,22.79,11.16,42740.0
ING006,OUT007,Cabai Merah,kg,1.01,0.55,54290.0
ING007,OUT007,Bawang Merah,kg,1.31,1.09,35190.0
ING009,OUT007,Telur,kg,1.63,3.74,31310.0
ING010,OUT007,Minyak Goreng,liter,9.96,3.46,19950.0
ING011,OUT007,Tepung Terigu,kg,28.17,9.2,13580.0
ING012,OUT007,Gula Pasir,kg,10.25,4.31,17980.0
ING013,OUT007,Susu UHT,liter,11.84,3.65,24860.0
ING014,OUT007,Keju Mozzarella,kg,13.07,5.21,138420.0
ING015,OUT007,Mentega,kg,3.61,2.34,75480.0
ING016,OUT007,Kopi Arabika,kg,5.33,1.8,205740.0
ING017,OUT007,Teh Premium,kg,1.14,0.72,104960.0
ING018,OUT007,Sayuran Segar Mix,kg,15.41,11.11,20740.0
ING019,OUT007,Kentang,kg,19.78,13.84,15440.0
ING020,OUT007,Tomat,kg,4.66,1.99,14350.0
ING021,OUT007,Coklat Couverture,kg,0.93,0.66,162510.0
ING022,OUT007,Buah Segar Mix,kg,10.69,24.69,38490.0
ING023,OUT007,Sirup Cocktail,liter,44.07,15.22,60470.0
ING024,OUT007,Soda Water,liter,49.26,22.69,9020.0
ING025,OUT007,Bir Kaleng,pcs,33.61,16.38,30960.0
