waste_id,outlet_id,date,ingredient_id,quantity_wasted,reason
WS0000001,OUT008,2023-10-01,ING013,0.02,expired
WS0000002,OUT002,2023-11-20,ING016,0.01,overproduction
WS0000003,OUT011,2026-02-20,ING018,0.004,expired
WS0000004,OUT003,2024-09-03,ING026,0.054,overproduction
WS0000005,OUT002,2025-09-05,ING017,0.007,overproduction
WS0000006,OUT009,2024-01-11,ING007,0.03,expired
WS0000007,OUT005,2025-02-04,ING006,0.128,overproduction
WS0000008,OUT010,2024-11-27,ING009,0.01,overproduction
WS0000009,OUT012,2024-10-09,ING016,0.021,overproduction
WS0000010,OUT006,2023-12-29,ING023,0.419,spillage
WS0000011,OUT002,2024-08-23,ING006,0.002,overproduction
WS0000012,OUT013,2024-06-26,ING016,0.013,overproduction
WS0000013,OUT013,2023-07-28,ING019,0.178,overproduction
WS0000014,OUT006,2025-09-21,ING027,0.769,overproduction
WS0000015,OUT003,2025-02-01,ING012,0.031,overproduction
WS0000016,OUT012,2024-12-24,ING001,0.203,overproduction
WS0000017,OUT002,2024-08-15,ING029,0.011,overproduction
WS0000018,OUT015,2023-12-11,ING020,0.042,overproduction
WS0000019,OUT001,2025-09-26,ING007,0.073,expired
WS0000020,OUT003,2024-02-15,ING003,0.043,expired
WS0000021,OUT003,2023-07-25,ING009,0.029,expired
WS0000022,OUT011,2024-03-16,ING008,0.003,overproduction
WS0000023,OUT012,2026-04-05,ING005,0.045,overproduction
WS0000024,OUT011,2025-10-09,ING016,0.001,overproduction
WS0000025,OUT001,2025-09-12,ING003,0.409,overproduction
WS0000026,OUT005,2025-01-09,ING018,0.332,expired
WS0000027,OUT013,2025-04-28,ING009,0.006,expired
WS0000028,OUT009,2025-06-03,ING018,0.298,expired
WS0000029,OUT009,2026-02-17,ING008,0.004,overproduction
WS0000030,OUT015,2023-11-10,ING006,0.041,overproduction
WS0000031,OUT004,2026-03-15,ING008,0.001,overproduction
WS0000032,OUT016,2025-06-12,ING012,0.003,overproduction
WS0000033,OUT013,2025-04-04,ING009,0.043,overproduction
WS0000034,OUT007,2024-11-30,ING028,0.091,expired
WS0000035,OUT010,2025-12-21,ING013,0.007,spillage
WS0000036,OUT001,2024-10-04,ING018,0.64,overproduction
WS0000037,OUT001,2024-12-26,ING014,0.062,expired
WS0000038,OUT002,2024-12-27,ING002,0.048,overproduction
WS0000039,OUT014,2024-12-26,ING015,0.002,overproduction
WS0000040,OUT003,2023-08-31,ING021,0.004,overproduction
WS0000041,OUT010,2024-05-11,ING027,0.356,overproduction
WS0000042,OUT008,2025-06-28,ING010,0.011,spillage
WS0000043,OUT012,2023-12-05,ING004,0.072,expired
WS0000044,OUT007,2024-02-02,ING027,1.053,overproduction
WS0000045,OUT011,2025-08-12,ING025,0.03,overproduction
WS0000046,OUT007,2023-11-10,ING019,0.324,expired
WS0000047,OUT012,2026-05-18,ING003,0.661,overproduction
