payroll_id,employee_id,period,base_salary,service_charge,overtime_pay,thr,deduction,net_salary
PY000001,E0001,2023-07,26132000,10710000,2703000,0,3023000,36522000
PY000002,E0002,2023-07,4511000,4868000,173000,0,658000,8894000
PY000003,E0003,2023-07,5171000,4868000,194000,0,718000,9515000
PY000004,E0004,2023-07,5236000,4868000,924000,0,761000,10267000
PY000005,E0005,2023-07,4777000,4868000,127000,0,680000,9092000
PY000006,E0006,2023-07,4925000,4868000,223000,0,698000,9318000
PY000007,E0008,2023-07,20189000,10710000,1174000,0,2411000,29662000
PY000008,E0009,2023-07,15549000,10710000,545000,0,1962000,24842000
PY000009,E0011,2023-07,4102000,4868000,172000,0,621000,8521000
PY000010,E0012,2023-07,4615000,4868000,297000,0,674000,9106000
PY000011,E0013,2023-07,28435000,10710000,1188000,0,3154000,37179000
PY000012,E0014,2023-07,4938000,4868000,283000,0,702000,9387000
PY000013,E0016,2023-07,3909000,4868000,507000,0,621000,8663000
PY000014,E0017,2023-07,4016000,4868000,115000,0,611000,8388000
PY000015,E0018,2023-07,4136000,4868000,251000,0,628000,8627000
PY000016,E0019,2023-07,4313000,4868000,90000,0,636000,8635000
PY000017,E0020,2023-07,4943000,4868000,620000,0,719000,9712000
PY000018,E0022,2023-07,3863000,4868000,294000,0,606000,8419000
PY000019,E0023,2023-07,3991000,4868000,129000,0,609000,8379000
PY000020,E0024,2023-07,6236000,4868000,283000,0,819000,10568000
PY000021,E0026,2023-07,27881000,10710000,1852000,0,3137000,37306000
PY000022,E0027,2023-07,4607000,4868000,357000,0,676000,9156000
PY000023,E0028,2023-07,4350000,4868000,161000,0,643000,8736000
PY000024,E0031,2023-07,4110000,4868000,369000,0,632000,8715000
PY000025,E0032,2023-07,3625000,4868000,254000,0,582000,8165000
PY000026,E0033,2023-07,3593000,4868000,203000,0,577000,8087000
PY000027,E0034,2023-07,3681000,4868000,291000,0,589000,8251000
PY000028,E0036,2023-07,3792000,4868000,193000,0,594000,8259000
PY000029,E0037,2023-07,3741000,4868000,93000,0,585000,8117000
PY000030,E0040,2023-07,4682000,4868000,422000,0,686000,9286000
PY000031,E0041,2023-07,4452000,4868000,191000,0,654000,8857000
PY000032,E0042,2023-07,5283000,4868000,244000,0,731000,9664000
PY000033,E0043,2023-07,4430000,4868000,181000,0,651000,8828000
PY000034,E0044,2023-07,3825000,4868000,215000,0,598000,8310000
PY000035,E0046,2023-07,4037000,4868000,114000,0,612000,8407000
PY000036,E0047,2023-07,21341000,10710000,542000,0,2483000,30110000
PY000037,E0048,2023-07,4653000,4868000,281000,0,676000,9126000
PY000038,E0051,2023-07,16229000,10710000,1165000,0,2054000,26050000
PY000039,E0052,2023-07,18179000,10710000,454000,0,2194000,27149000
PY000040,E0053,2023-07,5335000,4868000,235000,0,735000,9703000
PY000041,E0055,2023-07,4564000,4868000,582000,0,683000,9331000
PY000042,E0056,2023-07,4649000,4868000,143000,0,669000,8991000
