room_id,property_id,room_number,room_type,floor,status
RM0001,P01,101,Standard,1,occupied
RM0002,P01,102,Standard,1,available
RM0003,P01,103,Standard,1,available
RM0004,P01,104,Standard,1,available
RM0005,P01,105,Standard,1,occupied
RM0006,P01,106,Standard,1,occupied
RM0007,P01,107,Standard,1,cleaning
RM0008,P01,108,Standard,1,available
RM0009,P01,109,Standard,1,occupied
RM0010,P01,110,Standard,1,available
RM0011,P01,111,Standard,1,available
RM0012,P01,112,Standard,1,occupied
RM0013,P01,113,Standard,1,available
RM0014,P01,114,Standard,1,available
RM0015,P01,115,Standard,1,occupied
RM0016,P01,116,Standard,1,occupied
RM0017,P01,117,Standard,1,available
RM0018,P01,118,Standard,1,occupied
RM0019,P01,119,Standard,1,occupied
RM0020,P01,120,Standard,1,available
RM0021,P01,121,Standard,1,occupied
RM0022,P01,122,Standard,1,occupied
RM0023,P01,123,Standard,1,occupied
RM0024,P01,124,Standard,1,available
RM0025,P01,125,Standard,1,maintenance
RM0026,P01,201,Standard,2,occupied
RM0027,P01,202,Standard,2,available
RM0028,P01,203,Standard,2,available
RM0029,P01,204,Standard,2,cleaning
RM0030,P01,205,Standard,2,occupied
RM0031,P01,206,Standard,2,occupied
RM0032,P01,207,Standard,2,occupied
RM0033,P01,208,Standard,2,occupied
RM0034,P01,209,Standard,2,maintenance
RM0035,P01,210,Standard,2,occupied
RM0036,P01,211,Standard,2,occupied
RM0037,P01,212,Standard,2,occupied
RM0038,P01,213,Standard,2,occupied
RM0039,P01,214,Standard,2,cleaning
RM0040,P01,215,Standard,2,occupied
RM0041,P01,216,Standard,2,occupied
RM0042,P01,217,Standard,2,available
RM0043,P01,218,Deluxe,2,available
RM0044,P01,219,Deluxe,2,occupied
RM0045,P01,220,Deluxe,2,available
RM0046,P01,221,Deluxe,2,available
RM0047,P01,222,Deluxe,2,available
RM0048,P01,223,Deluxe,2,available
RM0049,P01,224,Deluxe,2,occupied
RM0050,P01,225,Deluxe,2,occupied
RM0051,P01,301,Deluxe,3,occupied
RM0052,P01,302,Deluxe,3,available
RM0053,P01,303,Deluxe,3,available
RM0054,P01,304,Deluxe,3,maintenance
RM0055,P01,305,Deluxe,3,occupied
RM0056,P01,306,Deluxe,3,occupied
RM0057,P01,307,Deluxe,3,available
RM0058,P01,308,Deluxe,3,occupied
RM0059,P01,309,Deluxe,3,available
RM0060,P01,310,Deluxe,3,occupied
RM0061,P01,311,Deluxe,3,out-of-order
RM0062,P01,312,Deluxe,3,occupied
RM0063,P01,313,Deluxe,3,occupied
RM0064,P01,314,Deluxe,3,occupied
RM0065,P01,315,Deluxe,3,cleaning
RM0066,P01,316,Deluxe,3,occupied
RM0067,P01,317,Deluxe,3,available
RM0068,P01,318,Deluxe,3,available
RM0069,P01,319,Deluxe,3,occupied
RM0070,P01,320,Deluxe,3,available
RM0071,P01,321,Deluxe,3,available
RM0072,P01,322,Deluxe,3,maintenance
RM0073,P01,323,Deluxe,3,cleaning
RM0074,P01,324,Deluxe,3,occupied
RM0075,P01,325,Deluxe,3,occupied
RM0076,P01,401,Deluxe,4,occupied
RM0077,P01,402,Deluxe,4,cleaning
RM0078,P01,403,Deluxe,4,occupied
RM0079,P01,404,Deluxe,4,available
RM0080,P01,405,Deluxe,4,available
RM0081,P01,406,Deluxe,4,occupied
RM0082,P01,407,Deluxe,4,available
RM0083,P01,408,Deluxe,4,occupied
RM0084,P01,409,Deluxe,4,cleaning
RM0085,P01,410,Suite,4,occupied
RM0086,P01,411,Suite,4,available
RM0087,P01,412,Suite,4,out-of-order
RM0088,P01,413,Suite,4,occupied
RM0089,P01,414,Suite,4,available
RM0090,P01,415,Suite,4,available
RM0091,P01,416,Suite,4,available
RM0092,P01,417,Suite,4,occupied
RM0093,P01,418,Suite,4,occupied
RM0094,P01,419,Suite,4,occupied
RM0095,P01,420,Suite,4,available
RM0096,P01,421,Suite,4,occupied
RM0097,P01,422,Suite,4,out-of-order
RM0098,P01,423,Suite,4,occupied
RM0099,P01,424,Suite,4,maintenance
RM0100,P01,425,Suite,4,cleaning
RM0101,P01,401,Suite,4,available
RM0102,P01,402,Suite,4,occupied
RM0103,P01,V01,Villa,1,occupied
RM0104,P01,V02,Villa,1,occupied
RM0105,P01,V03,Villa,1,available
RM0106,P01,V04,Villa,1,occupied
RM0107,P01,V05,Villa,1,available
RM0108,P01,V06,Villa,1,occupied
RM0109,P01,V07,Villa,1,occupied
RM0110,P01,V08,Villa,1,maintenance
RM0111,P01,V09,Villa,1,cleaning
RM0112,P01,V10,Villa,1,available
RM0113,P01,V11,Villa,1,occupied
RM0114,P01,V12,Villa,1,available
