spa_booking_id,property_id,guest_id,customer_type,service_name,booking_date,service_date,duration_minutes,price,status
SP000001,P01,G06632,inhouse,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000002,P01,G01682,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000003,P01,G08426,inhouse,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000004,P01,G04517,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,cancelled
SP000005,P01,G03258,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000006,P01,G08317,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000007,P01,G15543,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,completed
SP000008,P01,G08250,inhouse,Body Scrub,2023-07-01,2023-07-01,45,420000,cancelled
SP000009,P01,G12291,inhouse,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000010,P01,G02323,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000011,P01,G13173,inhouse,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000012,P01,G10410,inhouse,Hot Stone Massage,2023-07-01,2023-07-01,90,1020000,completed
SP000013,P01,G06947,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,completed
SP000014,P01,G11033,inhouse,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000015,P01,G17027,inhouse,Hot Stone Massage,2023-07-01,2023-07-01,90,1020000,completed
SP000016,P01,G13704,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,cancelled
SP000017,P01,G09191,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000018,P01,G07803,inhouse,Reflexology,2023-07-01,2023-07-01,45,336000,completed
SP000019,P01,G11033,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000020,P01,G12488,inhouse,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000021,P01,G11962,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000022,P01,G04923,inhouse,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000023,P01,G06282,inhouse,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000024,P01,G11033,inhouse,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000025,P01,G12164,inhouse,Aromatherapy Massage 90min,2023-07-01,2023-07-01,90,840000,completed
SP000026,P01,G01790,inhouse,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000027,P01,G20375,walk-in,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,cancelled
SP000028,P01,,walk-in,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000029,P01,G21880,walk-in,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,completed
SP000030,P01,G19960,walk-in,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000031,P01,G23910,walk-in,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000032,P01,G19587,walk-in,Couple Package,2023-07-01,2023-07-01,120,2160000,completed
SP000033,P01,G23982,walk-in,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000034,P01,,walk-in,Body Scrub,2023-07-01,2023-07-01,45,420000,completed
SP000035,P01,G20917,walk-in,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000036,P01,G22323,walk-in,Reflexology,2023-07-01,2023-07-01,45,336000,cancelled
SP000037,P01,,walk-in,Body Scrub,2023-07-01,2023-07-01,45,420000,completed
SP000038,P01,G23041,walk-in,Aromatherapy Massage 60min,2023-07-01,2023-07-01,60,600000,completed
SP000039,P01,G02064,walk-in,Reflexology,2023-07-01,2023-07-01,45,336000,completed
